Type,Title,ISSN,eISSN,StartDate,EndDate,Resource,URL
Journal,100 Mile House free press,0843-0403,,09/04/2008,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,1895 : bulletin de l'Association franc¸aise de recherche sur l'histoire du cinéma,0769-0959,,2000,2009,Revues.org,http://rproxy.insa-rennes.fr/login?url=http://1895.revues.org
Journal,"100 Years of Radio, 1995., International Conference on",,,1995,1995,IEEE/IET Electronic Library (IEL),http://rproxy.insa-rennes.fr/login?url=http://ieeexplore.ieee.org/servlet/opac?punumber=3533
Journal,18h (site web),,,04/01/2006,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,"2 Rives (Sorel-Tracy, QC)",,,30/04/2013,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Heures (Suisse),,,07/07/2005,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 heures Montréal,,,04/04/2012,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 heures Montréal (réf. site web),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Horas (Chile) (sitio web ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Hours Calgary,,,04/04/2012,02/08/2013,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Hours Edmonton,,,04/04/2012,02/08/2013,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Hours Ottawa,,,04/04/2012,02/08/2013,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Hours Toronto,,,05/04/2012,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 Hours Vancouver,,,05/04/2012,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 hours Vancouver (web site ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24 x 7 News (Bahrain) (web site),,,18/04/2012,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,24/7 Wall St. (web site ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
